/contrevenants;/contrevenant/adresse;/contrevenant/categorie;/contrevenant/date_infraction;/contrevenant/date_jugement;/contrevenant/description;/contrevenant/etablissement;/contrevenant/montant;/contrevenant/proprietaire;/contrevenant/ville
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;990 Herron Rd ;Restaurant;06 mars 2014;27 janvier 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT LA PORTE ORIENTALE;4 000 $ ;9250-7086 QUEBEC INC.  (Fermé);Dorval H9S 1B3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;105 Rue Prince-Arthur Est ;Restaurant;06 mars 2014;20 janvier 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;LA CAVERNE GRECQUE;4 000 $ ;142006 CANADA INC.  (Fermé changement d'exploitant);Montréal H2X 1B6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1001 Boul. Saint-Laurent ;Restaurant;06 mars 2014;23 février 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT PHO BANG NEW YORK;1 600 $ ;9150-3896 QUEBEC INC.;Montréal H2Z 1J4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1163 Rue Clark ;Restaurant;06 mars 2014;21 janvier 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;RESTAURANT NIU KEE;2 400 $ ;9202-1849 QUEBEC INC.  (Fermé);Montréal H2X 2P8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3060 Boul. Saint-Joseph ;Restaurant;06 mars 2014;18 août 2014;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;RESTAURANT LE GRILL BARROSO;1 500 $ ;9227-4877 QUEBEC INC.;Lachine H8S 2P4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5384 Av. Gatineau ;Restaurant;06 mars 2015;30 août 2016;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;CAFE LE WHYNOT;1 500 $ ;9291-8077 QUEBEC INC.  (Fermé);Montréal H3T 1X3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5384 Av. Gatineau ;Restaurant;06 mars 2015;30 août 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;CAFE LE WHYNOT;1 250 $ ;9291-8077 QUEBEC INC.  (Fermé);Montréal H3T 1X3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;777 Boul. Robert-Bourassa ;Restaurant;06 mars 2017;24 avril 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT PORTUS 360;250 $ ;9211-8066 QUEBEC INC.;Montréal H3C 3Z7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1862 Boul. des Sources ;Restaurant;06 novembre 2013;24 avril 2014;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;PAVILLON WONG INC.;2 500 $ ;PAVILLON WONG INC.  (Fermé);Pointe-Claire H9R 5B1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1310 Rue Wolfe ;Restaurant;06 novembre 2015;12 mai 2017;"Les surfaces du matériel, de l'équipement, des ustensiles et des contenants qui entrent en contact direct avec les produits, à l'exception des fruits et légumes frais entiers qui ne font pas l'objet de préparation, doivent être faites d'un matériau:  1° qui ne peut être corrodé; résistant aux opérations de lavage, de nettoyage ou de désinfection; 3° non toxique et non en état ou en voie de putréfaction; 4° non absorbant et imperméable; 5° inaltérable par les produits et fabriqué de façon à ne pas altérer les produits. Ces surfaces doivent être exemptes de particules détachables, d'aspérités ou de fissures.";LE RESTO DU VILLAGE;750 $ ;9139-4650 QUEBEC INC.;Montréal H2L 3J3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4424 Rue Wellington ;Restaurant;06 novembre 2015;29 mars 2017;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;RESTAURANT AMIS;1 600 $ ;9270-3362 QUEBEC INC.;Verdun H4G 1W5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4424 Rue Wellington ;Restaurant;06 novembre 2015;29 mars 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT AMIS;1 800 $ ;9270-3362 QUEBEC INC.;Verdun H4G 1W5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;500 Av. Dorval ;Restaurant;06 novembre 2015;23 mars 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;THAI EXPRESS! SUSHI SHOP LES JARDINS DE DORVAL;1 600 $ ;9180-4708 QUEBEC INC.;Dorval H9S 3H7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3702 Rue Notre-Dame Ouest ;Restaurant;06 septembre 2013;05 novembre 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;AA RESTAURANT;1 500 $ ;9252-0162 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H4C 1P7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1345 Rue Fleury Est ;Restaurant;06 septembre 2013;20 octobre 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT LE GOUT DE LA THAILANDE 2003;1 600 $ ;CHANTALE T. NGUYEN  (Fermé);Montréal H2C 1R4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1 Pl. Ville-Marie ;Restaurant;07 avril 2014;09 septembre 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;KATZ DELI A L'ANCIENNE;1 700 $ ;KATZ DELI A L'ANCIENNE INC.  (Fermé);Montréal H3B 3Y1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1 Pl. Ville-Marie ;Restaurant;07 avril 2014;09 septembre 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;KATZ DELI A L'ANCIENNE;1 700 $ ;KATZ DELI A L'ANCIENNE INC.  (Fermé);Montréal H3B 3Y1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;591 Boul. Henri-Bourassa Est ;Restaurant;07 avril 2017;28 avril 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT DELUXE;250 $ ;KUBAT IBRAHIM;Montréal H2C 1E2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;110 Boul. Crémazie Ouest ;Restaurant;07 avril 2017;21 avril 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;WOKTOGO;250 $ ;9331-2973 QUEBEC INC.;Montréal H2P 1B9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;8261 Boul. Saint-Laurent ;Restaurant;07 décembre 2015;11 septembre 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT LE BRASEIRO;1 750 $ ;9121-7174 QUEBEC INC.;Montréal H2P 2M1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1401 Rue du Collège ;Restaurant;07 décembre 2015;03 octobre 2016;"Les personnes affectées à la préparation des produits, au lavage ou au nettoyage du matériel et de l'équipement doivent: porter un bonnet ou une résille propre qui recouvre entièrement les cheveux; porter un couvre-barbe propre qui recouvre entièrement la barbe.";RESTAURANT PENDELI'S;500 $ ;9269-9479 QUEBEC INC.  (Fermé changement d'exploitant);St-Laurent H4L 2L5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;2101A Av. Dollard ;Restaurant;07 décembre 2015;18 août 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;BUFFET CHINOIS LASALLE ENR.;1 500 $ ;2434-9409 QUEBEC INC.;LaSalle H8N 1S2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;6830 Rue Hochelaga ;Restaurant;07 décembre 2016;04 janvier 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;LE CUPIDON D'OR DELI & GRILL;250 $ ;9180-7180 QUEBEC INC.;Montréal H1N 1Y4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1163 Rue Clark ;Restaurant;07 février 2013;14 mai 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT NIU KEE;1 400 $ ;9202-1849 QUEBEC INC.  (Fermé);Montréal H2X 2P8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;477 Boul. Saint-Laurent ;Restaurant;07 février 2013;28 mars 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;TAI NATURE RESTAURANT;1 750 $ ;9205-7991 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H2Y 2Y7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;477 Boul. Saint-Laurent ;Restaurant;07 février 2013;28 mars 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;TAI NATURE RESTAURANT;1 750 $ ;9205-7991 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H2Y 2Y7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;38 Pl. du Commerce ;Restaurant;07 janvier 2014;19 juin 2015;"Les personnes affectées à la préparation des produits, au lavage ou au nettoyage du matériel et de l'équipement doivent: porter un bonnet ou une résille propre qui recouvre entièrement les cheveux; porter un couvre-barbe propre qui recouvre entièrement la barbe.";PRESSE CAFE;250 $ ;9108-6835 QUEBEC INC.;Verdun H3E 1T8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;38 Pl. du Commerce ;Restaurant;07 janvier 2014;19 juin 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PRESSE CAFE;1 000 $ ;9108-6835 QUEBEC INC.;Verdun H3E 1T8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;38 Pl. du Commerce ;Restaurant;07 janvier 2014;19 juin 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;PRESSE CAFE;1 100 $ ;9108-6835 QUEBEC INC.;Verdun H3E 1T8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;93 Rue Sainte-Catherine Ouest ;Restaurant;07 janvier 2014;20 avril 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;CAFE REPUBLIQUE;1 800 $ ;9185-9140 QUEBEC INC.  (Fermé);Montréal H2X 1Z7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;654 Rue Jean-Talon Ouest ;Restaurant;07 juillet 2015;04 avril 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT LE VILLAGE GREC;1 000 $ ;3954609 CANADA INC.;Montréal H3N 1R7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1830 Rue Sainte-Catherine Est ;Restaurant;07 juin 2013;23 février 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT PHO AN-NAM;1 000 $ ;9136-3713 QUEBEC INC.;Montréal H2K 2H3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;45 90e Av. ;Restaurant;07 juin 2013;28 mai 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;LA PIAZZA GOUSTA;1 600 $ ;7877692 CANADA INC.  (Fermé changement d'exploitant);LaSalle H8R 2Z3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3858 Boul. Henri-Bourassa Est ;Restaurant;07 mai 2013;14 mai 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;CASSE-CROUTE MONT-CARMEL INC.;1 600 $ ;CASSE-CROUTE MONT-CARMEL INC.  (Fermé);Montréal-Nord H1H 1K5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1530 Boul. Henri-Bourassa Ouest ;Restaurant;07 mai 2014;01 mai 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;LE COQ LA LA;800 $ ;RESTAURANT KOKOROCO INC.  (Fermé changement d'exploitant);Montréal H3M 3E3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5112 Boul. Décarie ;Restaurant;07 mai 2014;08 avril 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;LE GEORGIA;1 200 $ ;LE GEORGIA;Montréal H3X 2H9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;11779 Boul. de Pierrefonds ;Restaurant;07 mars 2013;02 avril 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;9142-9563 QUEBEC INC. (NOUVEAU MAISON KAM);2 500 $ ;9142-9563 QUEBEC INC.  (Fermé changement d'exploitant);Pierrefonds H9A 1A1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7685 Rue Saint-Denis ;Restaurant;07 novembre 2013;12 novembre 2014;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;RESTAURANT JONAS;750 $ ;9196-0328 QUEBEC INC.;Montréal H2R 2E7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7685 Rue Saint-Denis ;Restaurant;07 novembre 2013;12 novembre 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT JONAS;2 500 $ ;9196-0328 QUEBEC INC.;Montréal H2R 2E7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;6717 Boul. Monk ;Restaurant;07 novembre 2014;16 novembre 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT KURDE;1 250 $ ;9264-8583 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H4E 3J2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;6717 Boul. Monk ;Restaurant;07 novembre 2014;16 novembre 2016;"Nul ne peut, sans être titulaire d'un permis en vigueur, exploiter un lieu ou un véhicule où est exercée l'activité de restaurateur.";RESTAURANT KURDE;2 000 $ ;9264-8583 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H4E 3J2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;2300 Av. du Mont-Royal Est ;Restaurant;07 novembre 2014;30 septembre 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;LE VIET SANDWICH;1 500 $ ;9181-1539 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H2H 1K8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7275 Rue Sherbrooke Est ;Restaurant;07 octobre 2014;25 novembre 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;KIM CHI;2 370 $ ;9267-6634 QUEEBC INC.;Montréal H1N 1E9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4735 Av. Van Horne ;Restaurant;07 octobre 2015;13 septembre 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT BAHAY KUBO;1 500 $ ;9113-2480 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H3W 1H8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1800 Av. de l' Église ;Restaurant;07 octobre 2015;09 janvier 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;SILVER DRAGON II;2 300 $ ;9089-5855 QUEBEC INC.  (Fermé);Montréal H4E 1G8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1865 Rue Jean-Talon Est ;Restaurant;08 août 2013;13 mai 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT LA BELLE BLEUE;800 $ ;RESTAURANT LA BELLE BLEUE INC.;Montréal H2E 1T4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5768 Av. de Monkland ;Restaurant;08 août 2013;12 mai 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;EPICERIE AL DENTE TRATTORIA;1 500 $ ;173838 CANADA INC.;Montréal H4A 1E9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;51 Rue Saint-Zotique Est ;Restaurant;08 août 2013;20 janvier 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT EL AMIGO 2;1 200 $ ;RESTAURANT EL AMIGO 2 INC.;Montréal H2S 1K7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;51 Rue Saint-Zotique Est ;Restaurant;08 août 2013;20 janvier 2014;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;RESTAURANT EL AMIGO 2;1 200 $ ;RESTAURANT EL AMIGO 2 INC.;Montréal H2S 1K7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7373 Boul. Langelier ;Restaurant;08 août 2014;17 mars 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT YENTA;1 250 $ ;SAIGON CAPITAL INC.  (Fermé changement d'exploitant);St-Léonard H1S 1V7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1805 Rue Sainte-Catherine Ouest ;Restaurant;08 avril 2014;09 mars 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;ZUSHI;1 250 $ ;7993714 CANADA INC.;Montréal H3H 1M2
